,timestamp,raw_mix.lab.measure.moisture_out,raw_mix.lab.measure.sito_009
434,2025-02-12 21:59:59,0.82,20.8
435,2025-02-12 23:59:59,0.8,20.1
436,2025-02-13 01:59:59,0.82,17.8
437,2025-02-13 03:59:59,0.83,19.0
438,2025-02-13 05:59:59,0.81,21.5
439,2025-02-13 07:59:59,0.85,21.6
440,2025-02-13 09:59:59,0.82,20.5
441,2025-02-13 11:59:59,0.8,19.6
442,2025-02-13 13:59:59,0.84,17.8
443,2025-02-13 15:59:59,0.82,18.8
444,2025-02-13 17:59:59,0.81,20.0
445,2025-02-13 19:59:59,0.84,20.0
446,2025-02-13 21:59:59,0.82,21.2
447,2025-02-13 23:59:59,0.79,20.8
448,2025-02-14 01:59:59,0.81,20.5
449,2025-02-14 03:59:59,0.85,18.6
450,2025-02-14 05:59:59,0.8,17.4
451,2025-02-14 08:00:00,0.84,17.9
452,2025-02-14 10:00:00,0.82,18.1
453,2025-02-14 12:00:00,0.83,20.2
454,2025-02-14 14:00:00,0.84,23.0
455,2025-02-14 16:00:00,0.85,21.8
456,2025-02-14 18:00:00,0.82,20.8
457,2025-02-14 20:00:00,0.82,21.2
458,2025-02-14 23:00:00,0.8,19.2
459,2025-02-15 00:00:00,0.84,18.0
460,2025-02-15 02:00:00,0.86,19.4
461,2025-02-15 17:00:00,0.87,19.2
462,2025-02-15 18:00:00,0.85,18.6
463,2025-02-15 20:00:00,0.85,20.3
464,2025-02-15 22:00:00,0.84,21.5
465,2025-02-16 00:00:00,0.82,18.3
466,2025-02-16 02:00:00,0.83,17.9
467,2025-02-16 04:00:00,0.84,17.2
468,2025-02-16 06:00:00,0.86,17.4
469,2025-02-16 08:00:00,0.86,18.8
470,2025-02-16 10:00:00,0.84,20.7
471,2025-02-16 12:00:00,0.83,21.2
472,2025-02-16 14:00:00,0.85,19.2
473,2025-02-16 16:00:00,0.84,16.5
474,2025-02-16 18:00:00,0.82,18.9
475,2025-02-16 20:00:00,0.84,19.8
476,2025-02-16 22:00:00,0.85,19.4
477,2025-02-17 00:00:00,0.83,20.2
478,2025-02-17 02:00:00,0.84,19.5
479,2025-02-17 04:00:00,0.82,19.7
